snapshot_date,analysis_mode,subject_area,grain,dimension_key,metric_name,metric_value,schema_version,metric_version,run_id
2026-03-12,unified-fact,funnel,stage,subject_total,count,1412.0,1.0.0,metric-v1,round2-analysis
2026-03-12,unified-fact,funnel,stage,subject_total,rate_vs_total,1.0,1.0.0,metric-v1,round2-analysis
2026-03-12,unified-fact,funnel,stage,matched_subjects,count,1134.0,1.0.0,metric-v1,round2-analysis
2026-03-12,unified-fact,funnel,stage,matched_subjects,rate_vs_total,0.8031161473087819,1.0.0,metric-v1,round2-analysis
2026-03-12,unified-fact,funnel,stage,unowned_subjects,count,278.0,1.0.0,metric-v1,round2-analysis
2026-03-12,unified-fact,funnel,stage,unowned_subjects,rate_vs_total,0.19688385269121814,1.0.0,metric-v1,round2-analysis
2026-03-12,unified-fact,funnel,stage,ordered_subjects,count,16.0,1.0.0,metric-v1,round2-analysis
2026-03-12,unified-fact,funnel,stage,ordered_subjects,rate_vs_total,0.0113314447592068,1.0.0,metric-v1,round2-analysis
2026-03-12,unified-fact,funnel,stage,dealt_subjects,count,9.0,1.0.0,metric-v1,round2-analysis
2026-03-12,unified-fact,funnel,stage,dealt_subjects,rate_vs_total,0.006373937677053824,1.0.0,metric-v1,round2-analysis
2026-03-12,unified-fact,sla,overall,overall,deal_subjects,9.0,1.0.0,metric-v1,round2-analysis
2026-03-12,unified-fact,sla,overall,overall,avg_create_to_deal_days,42.169311985596714,1.0.0,metric-v1,round2-analysis
2026-03-12,unified-fact,sla,overall,overall,p50_create_to_deal_days,3.7893518518518516,1.0.0,metric-v1,round2-analysis
2026-03-12,unified-fact,sla,overall,overall,p90_create_to_deal_days,111.95785416666669,1.0.0,metric-v1,round2-analysis
2026-03-12,unified-fact,sla,account,抖音-星途汽车官方直播间,deal_subjects,4.0,1.0.0,metric-v1,round2-analysis
2026-03-12,unified-fact,sla,account,抖音-星途汽车官方直播间,avg_create_to_deal_days,3.621825810185185,1.0.0,metric-v1,round2-analysis
2026-03-12,unified-fact,sla,account,抖音-星途汽车官方直播间,p50_create_to_deal_days,3.3557581018518516,1.0.0,metric-v1,round2-analysis
2026-03-12,unified-fact,sla,account,抖音-EXEED星途,deal_subjects,2.0,1.0.0,metric-v1,round2-analysis
2026-03-12,unified-fact,sla,account,抖音-EXEED星途,avg_create_to_deal_days,141.37464699074076,1.0.0,metric-v1,round2-analysis
2026-03-12,unified-fact,sla,account,抖音-EXEED星途,p50_create_to_deal_days,141.37464699074076,1.0.0,metric-v1,round2-analysis
2026-03-12,unified-fact,sla,account,抖音-星途汽车直播营销中心,deal_subjects,2.0,1.0.0,metric-v1,round2-analysis
2026-03-12,unified-fact,sla,account,抖音-星途汽车直播营销中心,avg_create_to_deal_days,0.7720023148148147,1.0.0,metric-v1,round2-analysis
2026-03-12,unified-fact,sla,account,抖音-星途汽车直播营销中心,p50_create_to_deal_days,0.7720023148148147,1.0.0,metric-v1,round2-analysis
2026-03-12,unified-fact,sla,account,快手-EXEED星途,deal_subjects,1.0,1.0.0,metric-v1,round2-analysis
2026-03-12,unified-fact,sla,account,快手-EXEED星途,avg_create_to_deal_days,80.74320601851852,1.0.0,metric-v1,round2-analysis
2026-03-12,unified-fact,sla,account,快手-EXEED星途,p50_create_to_deal_days,80.74320601851852,1.0.0,metric-v1,round2-analysis
2026-03-12,unified-fact,quality,account,抖音-星途汽车官方直播间,unique_subjects,728.0,1.0.0,metric-v1,round2-analysis
2026-03-12,unified-fact,quality,account,抖音-星途汽车官方直播间,phone_missing_rate,0.0,1.0.0,metric-v1,round2-analysis
2026-03-12,unified-fact,quality,account,抖音-星途汽车官方直播间,unowned_ratio,0.2802197802197802,1.0.0,metric-v1,round2-analysis
2026-03-12,unified-fact,quality,account,抖音-星途汽车官方直播间,deal_rate,0.005494505494505495,1.0.0,metric-v1,round2-analysis
