report_month,date,scope_type,scope_name,parent_account,lead_target_month,deal_target_month,lead_cost_target_month,lead_cost_target_month_disp,cpl_target,cpl_target_disp,cps_target,cps_target_disp,daily_leads,daily_lead_target,daily_lead_attain,daily_lead_attain_pct,mtd_leads,mtd_lead_attain,mtd_lead_attain_pct,daily_deals,daily_deal_target,daily_deal_attain,daily_deal_attain_pct,mtd_deals,mtd_deal_attain,mtd_deal_attain_pct,daily_spend,mtd_spend,daily_cpl,daily_cpl_disp,mtd_cpl,mtd_cpl_disp,daily_cps,daily_cps_disp,mtd_cps,mtd_cps_disp,target_pool
2026-05,2026-05-01,account,快手-EXEED星途,,0.0,0.0,,N/A,,N/A,,N/A,6.0,0.0,,N/A,6.0,,N/A,0.0,0.0,,N/A,0.0,,N/A,0.0,0.0,0.0,0.00,0.0,0.00,,N/A,,N/A,快手-EXEED星途
2026-05,2026-05-02,account,快手-EXEED星途,,0.0,0.0,,N/A,,N/A,,N/A,2.0,0.0,,N/A,8.0,,N/A,0.0,0.0,,N/A,0.0,,N/A,0.0,0.0,0.0,0.00,0.0,0.00,,N/A,,N/A,快手-EXEED星途
2026-05,2026-05-03,account,快手-EXEED星途,,0.0,0.0,,N/A,,N/A,,N/A,11.0,0.0,,N/A,19.0,,N/A,0.0,0.0,,N/A,0.0,,N/A,0.0,0.0,0.0,0.00,0.0,0.00,,N/A,,N/A,快手-EXEED星途
2026-05,2026-05-04,account,快手-EXEED星途,,0.0,0.0,,N/A,,N/A,,N/A,3.0,0.0,,N/A,22.0,,N/A,0.0,0.0,,N/A,0.0,,N/A,0.0,0.0,0.0,0.00,0.0,0.00,,N/A,,N/A,快手-EXEED星途
2026-05,2026-05-05,account,快手-EXEED星途,,0.0,0.0,,N/A,,N/A,,N/A,5.0,0.0,,N/A,27.0,,N/A,0.0,0.0,,N/A,0.0,,N/A,0.0,0.0,0.0,0.00,0.0,0.00,,N/A,,N/A,快手-EXEED星途
2026-05,2026-05-06,account,快手-EXEED星途,,0.0,0.0,,N/A,,N/A,,N/A,6.0,0.0,,N/A,33.0,,N/A,0.0,0.0,,N/A,0.0,,N/A,0.0,0.0,0.0,0.00,0.0,0.00,,N/A,,N/A,快手-EXEED星途
2026-05,2026-05-07,account,快手-EXEED星途,,0.0,0.0,,N/A,,N/A,,N/A,9.0,0.0,,N/A,42.0,,N/A,0.0,0.0,,N/A,0.0,,N/A,0.0,0.0,0.0,0.00,0.0,0.00,,N/A,,N/A,快手-EXEED星途
2026-05,2026-05-08,account,快手-EXEED星途,,0.0,0.0,,N/A,,N/A,,N/A,2.0,0.0,,N/A,44.0,,N/A,0.0,0.0,,N/A,0.0,,N/A,0.0,0.0,0.0,0.00,0.0,0.00,,N/A,,N/A,快手-EXEED星途
2026-05,2026-05-09,account,快手-EXEED星途,,0.0,0.0,,N/A,,N/A,,N/A,0.0,0.0,,N/A,44.0,,N/A,0.0,0.0,,N/A,0.0,,N/A,0.0,0.0,,N/A,0.0,0.00,,N/A,,N/A,快手-EXEED星途
2026-05,2026-05-10,account,快手-EXEED星途,,0.0,0.0,,N/A,,N/A,,N/A,0.0,0.0,,N/A,44.0,,N/A,0.0,0.0,,N/A,0.0,,N/A,0.0,0.0,,N/A,0.0,0.00,,N/A,,N/A,快手-EXEED星途
2026-05,2026-05-11,account,快手-EXEED星途,,0.0,0.0,,N/A,,N/A,,N/A,0.0,0.0,,N/A,44.0,,N/A,0.0,0.0,,N/A,0.0,,N/A,0.0,0.0,,N/A,0.0,0.00,,N/A,,N/A,快手-EXEED星途
2026-05,2026-05-12,account,快手-EXEED星途,,0.0,0.0,,N/A,,N/A,,N/A,0.0,0.0,,N/A,44.0,,N/A,0.0,0.0,,N/A,0.0,,N/A,0.0,0.0,,N/A,0.0,0.00,,N/A,,N/A,快手-EXEED星途
2026-05,2026-05-13,account,快手-EXEED星途,,0.0,0.0,,N/A,,N/A,,N/A,0.0,0.0,,N/A,44.0,,N/A,0.0,0.0,,N/A,0.0,,N/A,0.0,0.0,,N/A,0.0,0.00,,N/A,,N/A,快手-EXEED星途
2026-05,2026-05-14,account,快手-EXEED星途,,0.0,0.0,,N/A,,N/A,,N/A,0.0,0.0,,N/A,44.0,,N/A,1.0,0.0,,N/A,1.0,,N/A,0.0,0.0,,N/A,0.0,0.00,0.0,0.00,0.0,0.00,快手-EXEED星途
2026-05,2026-05-15,account,快手-EXEED星途,,0.0,0.0,,N/A,,N/A,,N/A,0.0,0.0,,N/A,44.0,,N/A,0.0,0.0,,N/A,1.0,,N/A,0.0,0.0,,N/A,0.0,0.00,,N/A,0.0,0.00,快手-EXEED星途
