report_month,date,scope_type,scope_name,parent_account,lead_target_month,deal_target_month,lead_cost_target_month,lead_cost_target_month_disp,cpl_target,cpl_target_disp,cps_target,cps_target_disp,daily_leads,daily_lead_target,daily_lead_attain,daily_lead_attain_pct,mtd_leads,mtd_lead_attain,mtd_lead_attain_pct,daily_deals,daily_deal_target,daily_deal_attain,daily_deal_attain_pct,mtd_deals,mtd_deal_attain,mtd_deal_attain_pct,daily_spend,mtd_spend,daily_cpl,daily_cpl_disp,mtd_cpl,mtd_cpl_disp,daily_cps,daily_cps_disp,mtd_cps,mtd_cps_disp,target_pool
2026-05,2026-05-28,account,快手-EXEED星途,,0.0,0.0,,N/A,,N/A,,N/A,0.0,0.0,,N/A,44.0,,N/A,0.0,0.0,,N/A,1.0,,N/A,0.0,0.0,,N/A,0.0,0.00,,N/A,0.0,0.00,快手-EXEED星途
2026-05,2026-05-28,account,抖店,,0.0,0.0,,N/A,,N/A,,N/A,0.0,0.0,,N/A,0.0,,N/A,0.0,0.0,,N/A,1.0,,N/A,0.0,0.0,,N/A,,N/A,,N/A,0.0,0.00,抖店
2026-05,2026-05-28,account,抖音-EXEED星途,,0.0,0.0,,N/A,,N/A,,N/A,31.0,0.0,,N/A,262.0,,N/A,0.0,0.0,,N/A,3.0,,N/A,0.0,0.0,0.0,0.00,0.0,0.00,,N/A,0.0,0.00,抖音-EXEED星途
2026-05,2026-05-28,account,抖音-星途极速拍档,,0.0,0.0,,N/A,,N/A,,N/A,0.0,0.0,,N/A,2.0,,N/A,0.0,0.0,,N/A,6.0,,N/A,0.0,0.0,,N/A,0.0,0.00,,N/A,0.0,0.00,抖音-星途极速拍档
2026-05,2026-05-28,account,抖音-星途汽车官方直播间,,14850.0,50.0,453001.13,453001.13,55.0,55.00,9060.02,9060.02,0.0,185.5,0.0,0.00%,14108.0,0.95003367003367,95.00%,0.0,1.5,0.0,0.00%,44.0,0.88,88.00%,0.0,445411.44,,N/A,31.5716,31.57,,N/A,10122.9873,10122.99,官方+直营目标池
2026-05,2026-05-28,account,抖音-星途汽车直播营销中心,,14850.0,50.0,453001.13,453001.13,55.0,55.00,9060.02,9060.02,250.0,1719.75,0.1453699665649077,14.54%,8221.0,0.5536026936026937,55.36%,1.0,6.75,0.14814814814814814,14.81%,24.0,0.48,48.00%,12109.49,338841.04,48.438,48.44,41.2165,41.22,12109.49,12109.49,14118.3767,14118.38,直播营销目标池
2026-05,2026-05-28,account,抖音-星途汽车直营中心,,14850.0,50.0,453001.13,453001.13,55.0,55.00,9060.02,9060.02,0.0,3704.5,0.0,0.00%,32.0,0.0021548821548821547,0.22%,0.0,12.25,0.0,0.00%,1.0,0.02,2.00%,0.0,0.0,,N/A,0.0,0.00,,N/A,0.0,0.00,官方+直营目标池
2026-05,2026-05-28,account,抖音来客,,0.0,0.0,,N/A,,N/A,,N/A,0.0,0.0,,N/A,2.0,,N/A,0.0,0.0,,N/A,0.0,,N/A,0.0,0.0,,N/A,0.0,0.00,,N/A,,N/A,抖音来客
2026-05,2026-05-28,account,星途星纪元,,0.0,0.0,,N/A,,N/A,,N/A,0.0,0.0,,N/A,6.0,,N/A,0.0,0.0,,N/A,6.0,,N/A,0.0,0.0,,N/A,0.0,0.00,,N/A,0.0,0.00,星途星纪元
2026-05,2026-05-28,account,星途星纪元直播营销中心+,,0.0,0.0,,N/A,,N/A,,N/A,0.0,0.0,,N/A,5.0,,N/A,0.0,0.0,,N/A,5.0,,N/A,0.0,0.0,,N/A,0.0,0.00,,N/A,0.0,0.00,星途星纪元直播营销中心+
2026-05,2026-05-28,account_total,线索组汇总,,29700.0,100.0,906002.26,906002.26,30.5051,30.51,9060.0226,9060.02,250.0,1897.25,0.13176966662274345,13.18%,22361.0,0.7528956228956228,75.29%,1.0,8.0,0.125,12.50%,69.0,0.69,69.00%,12109.49,784252.48,48.438,48.44,35.0723,35.07,12109.49,12109.49,11365.978,11365.98,
